_id,entidad_federativa,accidentes,lunes,martes,miercoles,jueves,viernes,sabado,domingo,luz_dia,luz_crepusculo,luz_noche,luz_alumbrado_publico
20,Durango,accidentes mortales,7.0,6.0,3.0,6.0,6.0,11.0,14.0,32.0,2.0,19.0,0.0
21,Estado Mexico,accidentes,74.0,76.0,70.0,89.0,88.0,104.0,100.0,297.0,30.0,273.0,1.0
22,Estado Mexico,accidentes mortales,22.0,14.0,16.0,24.0,22.0,22.0,24.0,66.0,7.0,71.0,0.0
23,Guanajuato,accidentes,78.0,87.0,67.0,88.0,87.0,126.0,130.0,329.0,30.0,302.0,2.0
24,Guanajuato,accidentes mortales,11.0,22.0,8.0,12.0,18.0,35.0,40.0,66.0,7.0,73.0,0.0
25,Guerrero,accidentes,56.0,33.0,48.0,58.0,52.0,67.0,79.0,195.0,23.0,173.0,2.0
26,Guerrero,accidentes mortales,8.0,4.0,9.0,10.0,9.0,12.0,11.0,27.0,5.0,30.0,1.0
27,Hidalgo,accidentes,44.0,21.0,35.0,35.0,34.0,47.0,52.0,133.0,5.0,128.0,2.0
28,Hidalgo,accidentes mortales,7.0,5.0,4.0,4.0,9.0,6.0,13.0,24.0,0.0,24.0,0.0
29,Jalisco,accidentes,75.0,59.0,41.0,70.0,62.0,99.0,78.0,252.0,19.0,212.0,1.0
30,Jalisco,accidentes mortales,20.0,16.0,6.0,15.0,18.0,33.0,21.0,67.0,2.0,60.0,0.0
31,Michoacan,accidentes,71.0,54.0,48.0,58.0,64.0,86.0,88.0,265.0,12.0,192.0,0.0
32,Michoacan,accidentes mortales,12.0,10.0,12.0,13.0,17.0,13.0,18.0,49.0,0.0,46.0,0.0
33,Morelos,accidentes,22.0,28.0,6.0,20.0,29.0,38.0,58.0,90.0,5.0,105.0,1.0
34,Morelos,accidentes mortales,2.0,2.0,1.0,0.0,4.0,2.0,5.0,9.0,0.0,7.0,0.0
35,Nayarit,accidentes,33.0,27.0,26.0,38.0,34.0,41.0,51.0,150.0,4.0,96.0,0.0
36,Nayarit,accidentes mortales,4.0,5.0,2.0,5.0,7.0,9.0,10.0,21.0,1.0,20.0,0.0
37,Nuevo Leon,accidentes,88.0,57.0,80.0,70.0,91.0,110.0,92.0,345.0,23.0,216.0,4.0
38,Nuevo Leon,accidentes mortales,17.0,3.0,13.0,11.0,12.0,19.0,12.0,51.0,4.0,30.0,2.0
39,Oaxaca,accidentes,45.0,41.0,41.0,32.0,47.0,52.0,49.0,163.0,11.0,131.0,2.0
40,Oaxaca,accidentes mortales,5.0,1.0,3.0,4.0,7.0,10.0,7.0,19.0,3.0,15.0,0.0
41,Puebla,accidentes,62.0,44.0,40.0,38.0,45.0,66.0,76.0,188.0,16.0,167.0,0.0
42,Puebla,accidentes mortales,15.0,14.0,13.0,9.0,15.0,15.0,16.0,54.0,4.0,39.0,0.0
43,Queretaro,accidentes,43.0,48.0,37.0,45.0,49.0,67.0,63.0,174.0,15.0,163.0,0.0
44,Queretaro,accidentes mortales,4.0,6.0,6.0,6.0,7.0,7.0,8.0,27.0,0.0,17.0,0.0
45,Quintana Roo,accidentes,32.0,27.0,21.0,16.0,24.0,29.0,36.0,92.0,6.0,84.0,3.0
46,Quintana Roo,accidentes mortales,5.0,6.0,6.0,5.0,4.0,10.0,8.0,23.0,2.0,18.0,1.0
47,San Luis Potosi,accidentes,75.0,37.0,49.0,53.0,54.0,69.0,83.0,235.0,14.0,170.0,1.0
48,San Luis Potosi,accidentes mortales,24.0,12.0,10.0,13.0,12.0,17.0,25.0,60.0,3.0,50.0,0.0
49,Sinaloa,accidentes,43.0,35.0,45.0,42.0,30.0,57.0,70.0,162.0,17.0,138.0,5.0
50,Sinaloa,accidentes mortales,8.0,8.0,11.0,10.0,6.0,19.0,16.0,35.0,4.0,39.0,0.0
51,Sonora,accidentes,44.0,31.0,25.0,25.0,45.0,34.0,57.0,160.0,7.0,94.0,0.0
52,Sonora,accidentes mortales,13.0,5.0,6.0,7.0,11.0,8.0,15.0,41.0,0.0,24.0,0.0
53,Tabasco,accidentes,56.0,47.0,47.0,65.0,71.0,74.0,77.0,234.0,9.0,193.0,1.0
54,Tabasco,accidentes mortales,5.0,6.0,5.0,3.0,7.0,5.0,7.0,19.0,3.0,16.0,0.0
55,Tamaulipas,accidentes,50.0,45.0,55.0,58.0,59.0,84.0,72.0,253.0,13.0,156.0,1.0
56,Tamaulipas,accidentes mortales,11.0,11.0,8.0,12.0,9.0,25.0,19.0,48.0,6.0,40.0,1.0
57,Tlaxcala,accidentes,45.0,32.0,21.0,29.0,23.0,43.0,45.0,110.0,14.0,113.0,1.0
58,Tlaxcala,accidentes mortales,2.0,4.0,0.0,4.0,1.0,0.0,3.0,4.0,0.0,10.0,0.0
59,Veracruz,accidentes,176.0,156.0,184.0,169.0,190.0,207.0,208.0,704.0,32.0,552.0,2.0
60,Veracruz,accidentes mortales,34.0,25.0,26.0,32.0,27.0,40.0,29.0,106.0,7.0,100.0,0.0
61,Yucatan,accidentes,29.0,26.0,18.0,27.0,27.0,27.0,30.0,99.0,5.0,80.0,0.0
62,Yucatan,accidentes mortales,2.0,2.0,3.0,1.0,3.0,3.0,3.0,10.0,0.0,7.0,0.0
63,Zacatecas,accidentes,67.0,52.0,49.0,70.0,54.0,76.0,84.0,268.0,20.0,162.0,2.0
64,Zacatecas,accidentes mortales,13.0,5.0,7.0,8.0,6.0,14.0,18.0,41.0,2.0,28.0,0.0
